Pd2,Qd2,Pd3,Qd3,Pd4,Qd4,PdT,QdT
792.7738045,427.1665974,666.08,350.9191152,847.3493889,471.2599929,2306.203193,1249.345705
822.385625,443.122196,692.68,364.9331202,881.1884078,490.079828,2396.254033,1298.135144
869.898125,468.723134,735.36,387.4187493,935.4834954,520.2764658,2540.74162,1376.418349
913.6256555,492.2846345,774.64,408.1131146,985.4532948,548.0675608,2673.71895,1448.46531
931.7044512,502.0259473,790.88,416.6690335,1006.112906,559.5575654,2728.697358,1478.252546
932.5950322,502.5058149,791.68,417.0905073,1007.130621,560.1235755,2731.405653,1479.719898
928.3647721,500.2264437,787.88,415.0885066,1002.296476,557.4350276,2718.541248,1472.749978
905.9221292,488.1337795,767.72,404.467366,976.6500613,543.1715736,2650.292191,1435.772719
881.2975627,474.8654396,745.6,392.8136144,948.5102455,527.5213948,2575.407808,1395.200449
855.737886,461.0932387,722.64,380.7173154,919.3018292,511.2769055,2497.679715,1353.08746
839.08402,452.1197141,707.68,372.8357546,900.2705614,500.692517,2447.034581,1325.647986
831.514081,448.0408392,700.88,369.253227,891.6199851,495.8814314,2424.014066,1313.175498
849.8155219,457.902119,717.32,377.9145144,912.5340254,507.5129385,2479.669547,1343.329572
913.0467778,491.9727205,774.12,407.8391567,984.7917801,547.6996542,2671.958558,1447.511531
943.9054118,508.6001338,801.84,422.443225,1020.0556,567.3119035,2765.801012,1498.355262
947.5122651,510.5435977,805.08,424.1501941,1024.177345,569.6042443,2776.76961,1504.298036
944.038999,508.6721139,801.96,422.5064461,1020.208257,567.396805,2766.207256,1498.575365
930.769341,501.5220863,790.04,416.226486,1005.044306,558.9632548,2725.853647,1476.711827
899.0201259,484.4148054,761.52,401.2009437,968.7627712,538.7849954,2629.302897,1424.400745
858.7213326,462.7007952,725.32,382.1292527,922.7111739,513.1730393,2506.752507,1358.003087
721.8390224,388.9451409,602.36,317.3487242,766.2884006,426.17729,2090.487423,1132.471155
702.1571808,378.3400663,584.68,308.0341525,743.7969023,413.6684672,2030.634083,1100.042686
694.809887,374.3811584,578.08,304.5569933,735.4007547,408.998884,2008.290642,1087.937036
695.3887647,374.6930724,578.6,304.8309513,736.0622694,409.3667906,2010.051034,1088.890814
699.6635538,376.996437,582.44,306.8540257,740.9473007,412.083639,2023.050855,1095.934102
713.0667989,384.2184448,594.48,313.197207,756.2639093,420.6020907,2063.810708,1118.017742
733.3720472,395.1594267,612.72,322.8068104,779.467808,433.5071205,2125.559855,1151.473358
757.7294395,408.2838063,634.6,334.3341198,807.3023093,448.9874962,2199.631749,1191.605422
782.4875932,421.6241263,656.84,346.0510924,835.5947823,464.7225764,2274.922375,1232.397795
797.1821808,429.5419422,670.04,353.0054107,852.3870774,474.0617428,2319.609258,1256.609096
786.9404985,424.0234645,660.84,348.1584616,840.6833566,467.5526268,2288.463855,1239.734553
765.8337272,412.6506017,641.88,338.1695317,816.5635145,454.1381879,2224.277242,1204.958321
754.3897605,406.4843027,631.6,332.7535929,803.4858786,446.8649584,2189.475639,1186.102854
750.4712038,404.3728851,628.08,330.899108,799.0079332,444.3745141,2177.559137,1179.646507
740.9419863,399.2383015,619.52,326.389338,788.1183843,438.3182062,2148.580371,1163.945846
746.2409437,402.0935139,624.28,328.8971073,794.1737877,441.6859662,2164.694731,1172.676587
764.2752103,411.8108333,640.48,337.4319525,814.7825135,453.1476703,2219.537724,1202.390456
819.0904751,441.3466858,689.72,363.373667,877.4228629,487.9855907,2386.233338,1292.705944
849.3257023,457.6381918,716.88,377.6827037,911.9742822,507.201633,2478.179985,1342.522528
855.6488279,461.0452519,722.56,380.675168,919.2000577,511.2203045,2497.408886,1352.940724
856.6284671,461.5731063,723.44,381.1387892,920.319544,511.8429156,2500.388011,1354.554811
845.4071456,455.5267742,713.36,375.8282189,907.4963369,504.7111886,2466.263482,1336.066182
825.725304,444.9216996,695.68,366.5136471,885.0048385,492.2023658,2406.410143,1303.637713
801.2343246,431.7253399,673.68,354.9231166,857.01768,476.6370886,2331.932005,1263.285545
